symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
UKOIL.cash,H4,commodity,0.001558,1.5,6.0,0.8,2.5,1.0,30
US100.cash,H4,index,0.001532,1.5,6.0,0.8,2.5,1.0,30
META,M30,equity,0.00143,1.5,4.5,1.0,2.0,0.5,24
FRA40.cash,H4,index,0.001386,1.5,6.0,0.8,2.5,1.0,30
GOOG,H1,equity,0.00138,1.5,4.5,1.0,2.0,0.5,24
RACE,H4,equity,0.001298,1.5,4.5,1.0,2.0,0.5,24
XAU_USD,H4,commodity,0.001271,1.5,6.0,0.8,2.5,1.0,30
GER40.cash,H4,index,0.001242,1.5,6.0,0.8,2.5,1.0,30
PFE,H1,equity,0.001218,1.5,4.5,1.0,2.0,0.5,24
AMZN,M30,equity,0.001165,1.5,4.5,1.0,2.0,0.5,24
XCU_USD,H4,commodity,0.001122,1.5,6.0,0.8,2.5,1.0,30
NVDA,M30,equity,0.001117,1.5,4.5,1.0,2.0,0.5,24
UK100.cash,H4,index,0.0011,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,H4,commodity,0.001029,1.5,6.0,0.8,2.5,1.0,30
ETHUSD,H4,crypto,0.001026,1.5,6.0,1.0,3.0,1.0,30
ALVG,H4,equity,0.000999,1.5,4.5,1.0,2.0,0.5,24
US30.cash,H4,index,0.00098,1.5,6.0,0.8,2.5,1.0,30
XAU_EUR,H4,commodity,0.000915,1.5,6.0,0.8,2.5,1.0,30
US500.cash,H4,index,0.000912,1.5,6.0,0.8,2.5,1.0,30
BABA,M30,equity,0.00077,1.5,4.5,1.0,2.0,0.5,24
BCHUSD,H4,crypto,0.000693,1.5,6.0,1.0,3.0,1.0,30
MSFT,H1,equity,0.000671,1.5,4.5,1.0,2.0,0.5,24
SPN35.cash,H4,index,0.00066,1.5,6.0,0.8,2.5,1.0,30
CAD_JPY,H4,forex,0.000658,1.5,6.0,0.8,2.5,1.0,30
JP225.cash,H1,index,0.000655,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,H4,forex,0.000609,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,H4,index,0.000529,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,H4,forex,0.000461,1.5,6.0,0.8,2.5,1.0,30
US100.cash,H1,index,0.000404,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,H4,forex,0.000397,1.5,6.0,0.8,2.5,1.0,30
BAYGn,H1,equity,0.000387,1.5,4.5,1.0,2.0,0.5,24
HK50.cash,H1,index,0.000374,1.5,6.0,0.8,2.5,1.0,30
ALGUSD,H4,crypto,0.000357,1.5,6.0,1.0,3.0,1.0,30
USD_CHF,H4,forex,0.00028,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,H4,forex,0.000273,1.5,6.0,0.8,2.5,1.0,30
AAPL,M30,equity,0.000273,1.5,4.5,1.0,2.0,0.5,24
AUD_USD,H4,forex,0.000239,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,H4,forex,0.000161,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,H4,forex,0.000157,1.5,6.0,0.8,2.5,1.0,30
NZD_USD,H4,forex,0.000145,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,H4,index,0.000139,1.5,6.0,0.8,2.5,1.0,30
MSFT,M30,equity,0.000138,1.5,4.5,1.0,2.0,0.5,24
IMXUSD,H1,crypto,0.000133,1.5,6.0,1.0,3.0,1.0,30
V,H1,equity,0.000126,1.5,4.5,1.0,2.0,0.5,24
LTCUSD,H4,crypto,0.000108,1.5,6.0,1.0,3.0,1.0,30
GOOG,M30,equity,0.000106,1.5,4.5,1.0,2.0,0.5,24
GER40.cash,H1,index,0.000075,1.5,6.0,0.8,2.5,1.0,30
US30.cash,H1,index,0.000063,1.5,6.0,0.8,2.5,1.0,30
GBP_JPY,H4,forex,0.000046,1.5,6.0,0.8,2.5,1.0,30
AAVUSD,H1,crypto,0.00002,1.5,6.0,1.0,3.0,1.0,30
EUR_JPY,H4,forex,0.000013,1.5,6.0,0.8,2.5,1.0,30
ICPUSD,H1,crypto,0.000011,1.5,6.0,1.0,3.0,1.0,30
GBP_USD,H4,forex,9e-6,1.5,6.0,0.8,2.5,1.0,30
COFFEE.c,H1,commodity,8e-6,1.5,6.0,0.8,2.5,1.0,30
FETUSD,H1,crypto,7e-6,1.5,6.0,1.0,3.0,1.0,30
XAG_AUD,H1,commodity,4e-6,1.5,6.0,0.8,2.5,1.0,30
FRA40.cash,H1,index,3e-6,1.5,6.0,0.8,2.5,1.0,30
JP225.cash,M30,index,3e-6,1.5,6.0,0.8,2.5,1.0,30
XAG_EUR,H1,commodity,2e-6,1.5,6.0,0.8,2.5,1.0,30
US500.cash,H1,index,1e-6,1.5,6.0,0.8,2.5,1.0,30
XAU_USD,H1,commodity,1e-6,1.5,6.0,0.8,2.5,1.0,30
US100.cash,M30,index,1e-6,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,H1,commodity,-3e-6,1.5,6.0,0.8,2.5,1.0,30
CHF_JPY,H4,forex,-4e-6,1.5,6.0,0.8,2.5,1.0,30
EUR_AUD,H4,forex,-7e-6,1.5,6.0,0.8,2.5,1.0,30
UKOIL.cash,H1,commodity,-7e-6,1.5,6.0,0.8,2.5,1.0,30
AUD_CAD,H4,forex,-9e-6,1.5,6.0,0.8,2.5,1.0,30
NFLX,H1,equity,-0.00001,1.5,4.5,1.0,2.0,0.5,24
GBP_AUD,H4,forex,-0.000014,1.5,6.0,0.8,2.5,1.0,30
GBP_NZD,H4,forex,-0.000014,1.5,6.0,0.8,2.5,1.0,30
HK50.cash,M30,index,-0.000014,1.5,6.0,0.8,2.5,1.0,30
DOGEUSD,H4,crypto,-0.000015,1.5,6.0,1.0,3.0,1.0,30
EUR_NZD,H4,forex,-0.000015,1.5,6.0,0.8,2.5,1.0,30
XCU_USD,H1,commodity,-0.000015,1.5,6.0,0.8,2.5,1.0,30
NZD_CHF,H4,forex,-0.000018,1.5,6.0,0.8,2.5,1.0,30
DBKGn,H1,equity,-0.000022,1.5,4.5,1.0,2.0,0.5,24
XAG_USD,H1,commodity,-0.000035,1.5,6.0,0.8,2.5,1.0,30
BTCUSD,H4,crypto,-0.000051,1.5,6.0,1.0,3.0,1.0,30
EUR_CAD,H4,forex,-0.000053,1.5,6.0,0.8,2.5,1.0,30
GER40.cash,M30,index,-0.000054,1.5,6.0,0.8,2.5,1.0,30
UK100.cash,H1,index,-0.000055,1.5,6.0,0.8,2.5,1.0,30
UNIUSD,H1,crypto,-0.000072,1.5,6.0,1.0,3.0,1.0,30
XAU_EUR,H1,commodity,-0.000081,1.5,6.0,0.8,2.5,1.0,30
US30.cash,M30,index,-0.000082,1.5,6.0,0.8,2.5,1.0,30
GBP_CAD,H4,forex,-0.000083,1.5,6.0,0.8,2.5,1.0,30
USD_CAD,H4,forex,-0.000083,1.5,6.0,0.8,2.5,1.0,30
EU50.cash,H1,index,-0.000083,1.5,6.0,0.8,2.5,1.0,30
US2000.cash,H1,index,-0.000086,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,H1,index,-0.00009,1.5,6.0,0.8,2.5,1.0,30
NZD_CAD,H4,forex,-0.000099,1.5,6.0,0.8,2.5,1.0,30
USOIL.cash,H1,commodity,-0.000099,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,H1,forex,-0.000113,1.5,6.0,0.8,2.5,1.0,30
EUR_GBP,H4,forex,-0.000118,1.5,6.0,0.8,2.5,1.0,30
FRA40.cash,M30,index,-0.000128,1.5,6.0,0.8,2.5,1.0,30
SPN35.cash,H1,index,-0.000129,1.5,6.0,0.8,2.5,1.0,30
US500.cash,M30,index,-0.00013,1.5,6.0,0.8,2.5,1.0,30
EUR_CHF,H4,forex,-0.000147,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,H1,forex,-0.000147,1.5,6.0,0.8,2.5,1.0,30
AUD_USD,H1,forex,-0.000147,1.5,6.0,0.8,2.5,1.0,30
XAU_USD,M30,commodity,-0.000151,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,M30,commodity,-0.000163,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,H1,forex,-0.000173,1.5,6.0,0.8,2.5,1.0,30
EUR_JPY,H1,forex,-0.000178,1.5,6.0,0.8,2.5,1.0,30
ALVG,H1,equity,-0.00018,1.5,4.5,1.0,2.0,0.5,24
UK100.cash,M30,index,-0.000187,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,M30,index,-0.000193,1.5,6.0,0.8,2.5,1.0,30
CAD_JPY,H1,forex,-0.000195,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,M30,forex,-0.000197,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,H1,forex,-0.000198,1.5,6.0,0.8,2.5,1.0,30
GBP_USD,H1,forex,-0.000199,1.5,6.0,0.8,2.5,1.0,30
USD_CHF,H1,forex,-0.000199,1.5,6.0,0.8,2.5,1.0,30
AUD_NZD,H4,forex,-0.0002,1.5,6.0,0.8,2.5,1.0,30
XAG_AUD,M30,commodity,-0.000201,1.5,6.0,0.8,2.5,1.0,30
NZD_USD,H1,forex,-0.000218,1.5,6.0,0.8,2.5,1.0,30
AUD_USD,M30,forex,-0.000223,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,M30,forex,-0.000228,1.5,6.0,0.8,2.5,1.0,30
EUR_AUD,H1,forex,-0.000231,1.5,6.0,0.8,2.5,1.0,30
XAG_EUR,M30,commodity,-0.000231,1.5,6.0,0.8,2.5,1.0,30
CHF_JPY,H1,forex,-0.000237,1.5,6.0,0.8,2.5,1.0,30
XAU_EUR,M30,commodity,-0.000237,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,M30,forex,-0.000238,1.5,6.0,0.8,2.5,1.0,30
EU50.cash,M30,index,-0.000238,1.5,6.0,0.8,2.5,1.0,30
USD_CAD,H1,forex,-0.00024,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,H1,forex,-0.000243,1.5,6.0,0.8,2.5,1.0,30
GBP_JPY,M30,forex,-0.000252,1.5,6.0,0.8,2.5,1.0,30
GBP_NZD,H1,forex,-0.000254,1.5,6.0,0.8,2.5,1.0,30
EUR_JPY,M30,forex,-0.000256,1.5,6.0,0.8,2.5,1.0,30
GBP_AUD,H1,forex,-0.000259,1.5,6.0,0.8,2.5,1.0,30
GBP_USD,M30,forex,-0.000259,1.5,6.0,0.8,2.5,1.0,30
EUR_NZD,H1,forex,-0.000265,1.5,6.0,0.8,2.5,1.0,30
USD_CHF,M30,forex,-0.000267,1.5,6.0,0.8,2.5,1.0,30
USD_MXN,H4,forex,-0.000268,1.5,6.0,0.8,2.5,1.0,30
GBP_CAD,H1,forex,-0.000272,1.5,6.0,0.8,2.5,1.0,30
UKOIL.cash,M30,commodity,-0.000274,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,H1,forex,-0.000278,1.5,6.0,0.8,2.5,1.0,30
EUR_CAD,H1,forex,-0.00028,1.5,6.0,0.8,2.5,1.0,30
AUD_CAD,H1,forex,-0.000281,1.5,6.0,0.8,2.5,1.0,30
CAD_JPY,M30,forex,-0.000283,1.5,6.0,0.8,2.5,1.0,30
EUR_CHF,H1,forex,-0.000285,1.5,6.0,0.8,2.5,1.0,30
USD_CAD,M30,forex,-0.000285,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,M30,forex,-0.000287,1.5,6.0,0.8,2.5,1.0,30
EUR_GBP,H1,forex,-0.000291,1.5,6.0,0.8,2.5,1.0,30
EUR_AUD,M30,forex,-0.000293,1.5,6.0,0.8,2.5,1.0,30
SPN35.cash,M30,index,-0.000299,1.5,6.0,0.8,2.5,1.0,30
CHF_JPY,M30,forex,-0.000304,1.5,6.0,0.8,2.5,1.0,30
GBP_NZD,M30,forex,-0.00031,1.5,6.0,0.8,2.5,1.0,30
US2000.cash,M30,index,-0.00031,1.5,6.0,0.8,2.5,1.0,30
XAG_USD,M30,commodity,-0.00031,1.5,6.0,0.8,2.5,1.0,30
GBP_AUD,M30,forex,-0.000317,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,M30,forex,-0.000318,1.5,6.0,0.8,2.5,1.0,30
NZD_CAD,H1,forex,-0.000321,1.5,6.0,0.8,2.5,1.0,30
GBP_CAD,M30,forex,-0.000322,1.5,6.0,0.8,2.5,1.0,30
AUD_NZD,H1,forex,-0.000324,1.5,6.0,0.8,2.5,1.0,30
EUR_NZD,M30,forex,-0.000324,1.5,6.0,0.8,2.5,1.0,30
EUR_CAD,M30,forex,-0.000326,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,H1,index,-0.000331,1.5,6.0,0.8,2.5,1.0,30
EUR_CHF,M30,forex,-0.000333,1.5,6.0,0.8,2.5,1.0,30
AUD_CAD,M30,forex,-0.000334,1.5,6.0,0.8,2.5,1.0,30
EUR_GBP,M30,forex,-0.000334,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,M30,forex,-0.000335,1.5,6.0,0.8,2.5,1.0,30
COCOA.c,H1,commodity,-0.000351,1.5,6.0,0.8,2.5,1.0,30
NZD_CHF,H1,forex,-0.000355,1.5,6.0,0.8,2.5,1.0,30
AUD_NZD,M30,forex,-0.00036,1.5,6.0,0.8,2.5,1.0,30
WMT,H1,equity,-0.000364,1.5,4.5,1.0,2.0,0.5,24
NZD_CAD,M30,forex,-0.000377,1.5,6.0,0.8,2.5,1.0,30
LNKUSD,H1,crypto,-0.000383,1.5,6.0,1.0,3.0,1.0,30
USOIL.cash,M30,commodity,-0.000387,1.5,6.0,0.8,2.5,1.0,30
COFFEE.c,M30,commodity,-0.00039,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,M30,index,-0.000392,1.5,6.0,0.8,2.5,1.0,30
ALVG,M30,equity,-0.000445,1.5,4.5,1.0,2.0,0.5,24
USD_NOK,H4,forex,-0.000474,1.5,6.0,0.8,2.5,1.0,30
USD_SEK,H4,forex,-0.000517,1.5,6.0,0.8,2.5,1.0,30
USD_PLN,H4,forex,-0.000518,1.5,6.0,0.8,2.5,1.0,30
DXY.cash,H4,forex,-0.000521,1.5,6.0,0.8,2.5,1.0,30
SOLUSD,H1,crypto,-0.000534,1.5,6.0,1.0,3.0,1.0,30
ZM,H1,equity,-0.000535,1.5,4.5,1.0,2.0,0.5,24
USD_ZAR,H4,forex,-0.000541,1.5,6.0,0.8,2.5,1.0,30
USD_HUF,H4,forex,-0.000577,1.5,6.0,0.8,2.5,1.0,30
USD_MXN,H1,forex,-0.000589,1.5,6.0,0.8,2.5,1.0,30
USD_CNH,H4,forex,-0.000619,1.5,6.0,0.8,2.5,1.0,30
USD_ILS,H4,forex,-0.000624,1.5,6.0,0.8,2.5,1.0,30
GRTUSD,H1,crypto,-0.000643,1.5,6.0,1.0,3.0,1.0,30
DBKGn,M30,equity,-0.000643,1.5,4.5,1.0,2.0,0.5,24
BARUSD,H1,crypto,-0.000644,1.5,6.0,1.0,3.0,1.0,30
USD_HKD,H4,forex,-0.000653,1.5,6.0,0.8,2.5,1.0,30
USD_SGD,H4,forex,-0.000656,1.5,6.0,0.8,2.5,1.0,30
XCU_USD,M30,commodity,-0.000671,1.5,6.0,0.8,2.5,1.0,30
FETUSD,M30,crypto,-0.000674,1.5,6.0,1.0,3.0,1.0,30
USD_HKD,H1,forex,-0.000679,1.5,6.0,0.8,2.5,1.0,30
EUR_NOK,H4,forex,-0.00068,1.5,6.0,0.8,2.5,1.0,30
USD_CNH,H1,forex,-0.000681,1.5,6.0,0.8,2.5,1.0,30
USD_HKD,M30,forex,-0.000686,1.5,6.0,0.8,2.5,1.0,30
XLMUSD,H1,crypto,-0.000697,1.5,6.0,1.0,3.0,1.0,30
USD_MXN,M30,forex,-0.000701,1.5,6.0,0.8,2.5,1.0,30
USD_CNH,M30,forex,-0.000702,1.5,6.0,0.8,2.5,1.0,30
DXY.cash,H1,forex,-0.000703,1.5,6.0,0.8,2.5,1.0,30
N25.cash,H4,index,-0.000745,1.5,6.0,0.8,2.5,1.0,30
DASHUSD,H1,crypto,-0.000752,1.5,6.0,1.0,3.0,1.0,30
USD_SGD,H1,forex,-0.000764,1.5,6.0,0.8,2.5,1.0,30
DXY.cash,M30,forex,-0.000766,1.5,6.0,0.8,2.5,1.0,30
USD_CZK,H4,forex,-0.000774,1.5,6.0,0.8,2.5,1.0,30
USD_SGD,M30,forex,-0.000801,1.5,6.0,0.8,2.5,1.0,30
USD_NOK,H1,forex,-0.000806,1.5,6.0,0.8,2.5,1.0,30
GALUSD,H1,crypto,-0.000821,1.5,6.0,1.0,3.0,1.0,30
GBPJPY,H4,forex,-0.000845,1.5,6.0,0.8,2.5,1.0,30
ETCUSD,H1,crypto,-0.000853,1.5,6.0,1.0,3.0,1.0,30
USD_ZAR,H1,forex,-0.000868,1.5,6.0,0.8,2.5,1.0,30
NZDUSD,H4,forex,-0.000869,1.5,6.0,0.8,2.5,1.0,30
USD_SEK,H1,forex,-0.000876,1.5,6.0,0.8,2.5,1.0,30
USD_PLN,H1,forex,-0.00088,1.5,6.0,0.8,2.5,1.0,30
USD_HUF,H1,forex,-0.000882,1.5,6.0,0.8,2.5,1.0,30
EUR_HUF,H4,forex,-0.000883,1.5,6.0,0.8,2.5,1.0,30
AAVUSD,M30,crypto,-0.000887,1.5,6.0,1.0,3.0,1.0,30
BNBUSD,H1,crypto,-0.000888,1.5,6.0,1.0,3.0,1.0,30
EUR_NOK,H1,forex,-0.000894,1.5,6.0,0.8,2.5,1.0,30
XPT_USD,H4,commodity,-0.000895,1.5,6.0,0.8,2.5,1.0,30
USD_NOK,M30,forex,-0.000895,1.5,6.0,0.8,2.5,1.0,30
VOWG_p,H4,equity,-0.000926,1.5,4.5,1.0,2.0,0.5,24
EUR_PLN,H4,forex,-0.000943,1.5,6.0,0.8,2.5,1.0,30
USD_ILS,H1,forex,-0.000946,1.5,6.0,0.8,2.5,1.0,30
USD_PLN,M30,forex,-0.000957,1.5,6.0,0.8,2.5,1.0,30
EUR_NOK,M30,forex,-0.000958,1.5,6.0,0.8,2.5,1.0,30
USD_SEK,M30,forex,-0.000961,1.5,6.0,0.8,2.5,1.0,30
UNIUSD,M30,crypto,-0.000968,1.5,6.0,1.0,3.0,1.0,30
USD_HUF,M30,forex,-0.000972,1.5,6.0,0.8,2.5,1.0,30
USD_ZAR,M30,forex,-0.000978,1.5,6.0,0.8,2.5,1.0,30
BAC,H1,equity,-0.000999,1.5,4.5,1.0,2.0,0.5,24
CADCHF,H4,index,-0.001039,1.5,6.0,0.8,2.5,1.0,30
USD_CZK,H1,forex,-0.001041,1.5,6.0,0.8,2.5,1.0,30
EUR_HUF,H1,forex,-0.001045,1.5,6.0,0.8,2.5,1.0,30
USD_ILS,M30,forex,-0.001048,1.5,6.0,0.8,2.5,1.0,30
ICPUSD,M30,crypto,-0.00105,1.5,6.0,1.0,3.0,1.0,30
EUR_PLN,H1,forex,-0.001066,1.5,6.0,0.8,2.5,1.0,30
BAYGn,M30,equity,-0.001075,1.5,4.5,1.0,2.0,0.5,24
COCOA.c,M30,commodity,-0.001076,1.5,6.0,0.8,2.5,1.0,30
LNKUSD,M30,crypto,-0.001086,1.5,6.0,1.0,3.0,1.0,30
EUR_HUF,M30,forex,-0.001093,1.5,6.0,0.8,2.5,1.0,30
EUR_PLN,M30,forex,-0.001106,1.5,6.0,0.8,2.5,1.0,30
USD_CZK,M30,forex,-0.001109,1.5,6.0,0.8,2.5,1.0,30
GBPJPY,H1,forex,-0.001119,1.5,6.0,0.8,2.5,1.0,30
SOLUSD,M30,crypto,-0.001134,1.5,6.0,1.0,3.0,1.0,30
IMXUSD,M30,crypto,-0.001135,1.5,6.0,1.0,3.0,1.0,30
EUR_CZK,H4,forex,-0.001139,1.5,6.0,0.8,2.5,1.0,30
AUDNZD,H4,forex,-0.00115,1.5,6.0,0.8,2.5,1.0,30
RACE,H1,equity,-0.001153,1.5,4.5,1.0,2.0,0.5,24
VECUSD,H1,crypto,-0.001157,1.5,6.0,1.0,3.0,1.0,30
AVAUSD,H1,crypto,-0.001164,1.5,6.0,1.0,3.0,1.0,30
NZDUSD,H1,forex,-0.001168,1.5,6.0,0.8,2.5,1.0,30
BTCUSD,H1,crypto,-0.001188,1.5,6.0,1.0,3.0,1.0,30
USDZAR,H4,forex,-0.001191,1.5,6.0,0.8,2.5,1.0,30
GBPJPY,M30,forex,-0.001202,1.5,6.0,0.8,2.5,1.0,30
EUR_CZK,H1,forex,-0.001221,1.5,6.0,0.8,2.5,1.0,30
N25.cash,H1,index,-0.001227,1.5,6.0,0.8,2.5,1.0,30
SANUSD,H1,crypto,-0.001239,1.5,6.0,1.0,3.0,1.0,30
NZDUSD,M30,forex,-0.001244,1.5,6.0,0.8,2.5,1.0,30
EUR_CZK,M30,forex,-0.001249,1.5,6.0,0.8,2.5,1.0,30
DOTUSD,H4,crypto,-0.001251,1.5,6.0,1.0,3.0,1.0,30
USDCNH,H4,forex,-0.001269,1.5,6.0,0.8,2.5,1.0,30
AUDNZD,H1,forex,-0.001274,1.5,6.0,0.8,2.5,1.0,30
CADCHF,H1,index,-0.001281,1.5,6.0,0.8,2.5,1.0,30
MANUSD,H1,crypto,-0.001287,1.5,6.0,1.0,3.0,1.0,30
AUDNZD,M30,forex,-0.00131,1.5,6.0,0.8,2.5,1.0,30
ADAUSD,H4,crypto,-0.001319,1.5,6.0,1.0,3.0,1.0,30
BNBUSD,M30,crypto,-0.001326,1.5,6.0,1.0,3.0,1.0,30
XLMUSD,M30,crypto,-0.001326,1.5,6.0,1.0,3.0,1.0,30
USDCNH,H1,forex,-0.001331,1.5,6.0,0.8,2.5,1.0,30
CADCHF,M30,index,-0.001342,1.5,6.0,0.8,2.5,1.0,30
USDCNH,M30,forex,-0.001352,1.5,6.0,0.8,2.5,1.0,30
GRTUSD,M30,crypto,-0.001355,1.5,6.0,1.0,3.0,1.0,30
N25.cash,M30,index,-0.001369,1.5,6.0,0.8,2.5,1.0,30
BARUSD,M30,crypto,-0.001376,1.5,6.0,1.0,3.0,1.0,30
WHEAT.c,H4,commodity,-0.001405,1.5,6.0,0.8,2.5,1.0,30
DASHUSD,M30,crypto,-0.001421,1.5,6.0,1.0,3.0,1.0,30
ETCUSD,M30,crypto,-0.001499,1.5,6.0,1.0,3.0,1.0,30
USDZAR,H1,forex,-0.001518,1.5,6.0,0.8,2.5,1.0,30
BTCUSD,M30,crypto,-0.001523,1.5,6.0,1.0,3.0,1.0,30
GALUSD,M30,crypto,-0.001588,1.5,6.0,1.0,3.0,1.0,30
AIRF,H4,equity,-0.001603,1.5,4.5,1.0,2.0,0.5,24
CORN.c,H4,commodity,-0.001619,1.5,6.0,0.8,2.5,1.0,30
USDZAR,M30,forex,-0.001628,1.5,6.0,0.8,2.5,1.0,30
SOYBEAN.c,H4,commodity,-0.001645,1.5,6.0,0.8,2.5,1.0,30
ALGUSD,H1,crypto,-0.00171,1.5,6.0,1.0,3.0,1.0,30
VECUSD,M30,crypto,-0.001788,1.5,6.0,1.0,3.0,1.0,30
ETHUSD,H1,crypto,-0.001852,1.5,6.0,1.0,3.0,1.0,30
AVAUSD,M30,crypto,-0.001893,1.5,6.0,1.0,3.0,1.0,30
SANUSD,M30,crypto,-0.001994,1.5,6.0,1.0,3.0,1.0,30
MANUSD,M30,crypto,-0.002005,1.5,6.0,1.0,3.0,1.0,30
IBE,H4,equity,-0.00201,1.5,4.5,1.0,2.0,0.5,24
BCHUSD,H1,crypto,-0.002028,1.5,6.0,1.0,3.0,1.0,30
VOWG_p,H1,equity,-0.002028,1.5,4.5,1.0,2.0,0.5,24
WHEAT.c,H1,commodity,-0.002033,1.5,6.0,0.8,2.5,1.0,30
XPT_USD,H1,commodity,-0.002068,1.5,6.0,0.8,2.5,1.0,30
SOYBEAN.c,H1,commodity,-0.002111,1.5,6.0,0.8,2.5,1.0,30
